fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,18,MAHARASHTRA,1820,Dharashiv,945670,297.847168807961,38,143,199.94660371,1748,48,25193,1552332,93603,24589,5845,1136,73.83585,4897.35936621,40634,62624,76084,196185,2549,325889,705804,26941,4623.5769125,585035,81,56.51,0.12,109.59,
2024-2025,Aug,18,MAHARASHTRA,1821,LATUR,2559545,300.290748075931,47,197,1476.495559588,3463,11,35314,3641502,308321,55351,35515,4154,151.44947,12563.038626588,76377,121955,130116,325801,8351,392502,832932,38777,10935.093597,1430371,88,63.26,0.02,100.43,
2024-2025,Aug,18,MAHARASHTRA,1813,SOLAPUR,496222,351.867913510271,31,105,381.968450911,1953,115,22184,856726,30795,14998,6816,2450,70.49548,3467.007831611,26993,42824,80753,185590,1147,555026,961957,24137,3014.5439007,294541,97,80.58,0.0,105.71,
2024-2025,Aug,18,MAHARASHTRA,1814,KOLHAPUR,180963,301.849363209607,26,25,71.0654,574,267,11385,332103,34737,18052,515,295,29.22621,1102.7424007,12647,20264,45035,109323,274,356249,629819,11959,1002.4507907,131323,92,43.02,0.06,112.81,
2024-2025,Aug,18,MAHARASHTRA,1816,JALNA,2297799,296.861130255876,37,293,536.6692966,1132,34,51823,3409113,85223,19907,15631,3049,136.50148,10793.5021601,90658,161345,161107,430633,4949,477056,1074373,52955,10120.3313835,1384219,76,53.64,0.43,100.62,
2024-2025,Sep,18,MAHARASHTRA,1806,NASHIK,1070096,298.03314571613,30,451,1216.100806157,8901,64,49474,1736479,24568,11038,674470,193616,251.43303,6642.816824557,56164,87478,175796,492348,1790,693555,1476171,58375,5175.2829884,610440,81,34.43,14.13,100.36,
2024-2025,Sep,18,MAHARASHTRA,1814,KOLHAPUR,188363,296.922143990305,26,28,76.28631,725,263,11348,349843,36609,18150,576,295,29.22621,1144.2738562,13254,21275,45376,110071,281,356876,631657,12073,1038.7613362,139256,92,43.84,0.05,112.22,
2024-2025,Sep,18,MAHARASHTRA,1822,BULDHANA,678680,299.419440227901,20,130,403.73365682,4978,13,29880,1154184,81163,32677,26666,7366,52.35556,3911.94048882,55559,78865,119548,289750,263,483126,1007003,34858,3455.851272,399685,93,39.37,0.88,99.66,
2024-2025,Sep,18,MAHARASHTRA,1824,AMRAVATI,3672801,290.590365720051,59,938,2677.107744699,6615,9,45811,5316881,488883,53326,1804764,137642,209.65085,18337.1025374989,89825,168874,187977,527021,16177,471127,1057922,52426,15450.3439427999,2239570,78,36.58,17.04,129.35,
2024-2025,Sep,18,MAHARASHTRA,1828,BHANDARA,3908517,181.245873174933,36,5262,375.893646618,6203,8,20083,4679280,554403,59287,321554,33215,274.11643,9131.011970918,127743,208152,187430,452041,4903,286487,629936,26286,8481.0018943,2943852,80,23.38,20.12,100.81,
2024-2025,Sep,18,MAHARASHTRA,1829,CHANDRAPUR,3190530,247.714952760918,41,682,384.865881019,8508,15,30740,4070041,423354,63395,881856,106492,398.62125,10865.587271519,97931,169542,172145,494176,6461,381352,915443,39248,10082.1001405,2156732,79,31.13,17.94,101.92,
2024-2025,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1584595,295.7647256363,36,148,2076.121459462,11240,17,33787,2159360,117862,33097,70415,25687,310.19267,8772.939308962,59028,99700,154460,446039,4059,771313,1911041,45027,6386.62517950001,891435,89,65.44,0.08,106.23,
2024-2025,Dec,18,MAHARASHTRA,1813,SOLAPUR,1137646,333.303054161067,34,141,633.387611323,3539,16,21935,1331233,48900,15612,10216,2566,164.68648,5235.114338323,38220,62299,87102,199147,2082,563213,978520,25474,4437.040247,476403,96,80.53,0.0,107.99,
2024-2025,Dec,18,MAHARASHTRA,1821,LATUR,4305825,293.562312146188,51,212,7580.691048948,9516,1,30077,4261625,386744,56201,42010,4245,671.34234,20762.558273948,82880,133277,132655,331798,10908,398001,842262,39593,12510.524885,1694859,87,59.68,0.02,101.02,
2024-2025,Dec,18,MAHARASHTRA,1830,GADCHIROLI,2955491,276.846378639073,37,986,6483.935017428,11091,3,11419,2974384,266479,39347,1126196,165831,406.56619,15124.975598248,78278,146462,133774,387783,4449,235302,601511,22510,8234.47439082,1419576,81,30.19,13.13,101.56,
2024-2025,Dec,18,MAHARASHTRA,1834,HINGOLI,1888416,299.499016268815,39,92,3010.818094019,6854,4,20233,1930995,283348,45097,320093,43216,310.38653,9104.515653219,49041,79782,94865,242435,3375,262604,595181,27087,5783.3110292,769690,89,69.48,0.16,102.27,
2024-2025,Dec,18,MAHARASHTRA,1835,PALGHAR,2709589,265.87355670596,38,776,3100.551532173,12811,17,29900,2803268,10395,1782,2589763,334456,490.20193,11043.901797773,72202,133932,125795,373249,4904,313623,733683,42711,7453.14833560002,1557247,83,18.45,13.19,101.77,
2024-2025,Dec,18,MAHARASHTRA,1805,SINDHUDURG,296893,295.502096458986,28,103,130.7403825,3264,5,17219,343856,8301,3748,833,307,75.60363,1222.44570130001,12011,19569,38692,88725,348,129997,244242,20483,1016.10168880001,136605,81,80.4,4.45,100.77,
2024-2025,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1584595,296.339764188187,36,147,2076.121459462,11174,18,33769,2145482,117224,33086,69913,25665,310.19267,8744.230428962,58810,99240,154350,445672,4014,771261,1910855,44943,6357.91629950001,885072,89,65.35,0.08,106.26,
2024-2025,Dec,18,MAHARASHTRA,1810,PUNE,374487,305.269458401844,30,64,414.306156937,8276,192,17865,478639,22910,10306,56681,21285,104.65807,1980.102909937,15607,25152,56433,148917,567,380294,817773,26141,1461.138683,175714,93,69.93,0.02,102.02,
2024-2025,Dec,18,MAHARASHTRA,1812,SANGLI,471705,277.610450402025,32,42,611.519955546,3721,44,10442,580437,28668,8037,628,217,105.79457,2328.668295546,17824,25641,48370,103284,370,318072,558149,14163,1611.35377,205655,83,43.97,0.14,96.36,
2024-2025,Dec,18,MAHARASHTRA,1817,PARBHANI,3394688,314.316486849884,40,270,5131.342873766,5185,36,34622,3418943,123223,21080,25574,2926,634.30292,16511.947318766,84435,134263,145111,326471,5977,422166,812832,39807,10746.301525,1324855,89,56.65,0.1,107.68,
2024-2025,Dec,18,MAHARASHTRA,1824,AMRAVATI,6267662,264.996418110783,70,1086,12930.512462779,14233,3,42322,7524116,730819,54667,2432043,139275,824.60652,33693.7568772793,106541,201541,193330,542520,23897,474710,1067577,56555,19938.6378945003,3108247,77,41.8,14.48,124.06,
2024-2025,Dec,18,MAHARASHTRA,1831,NANDURBAR,1511858,288.924166922563,31,105,3558.30979902,11091,8,28839,1836684,49073,11222,1346313,292072,303.84965,9168.78339502,58684,85910,148776,356662,1855,534127,1085637,39930,5306.623946,755491,73,41.83,1.56,106.74,
2024-2025,Dec,18,MAHARASHTRA,1833,GONDIA,6219077,217.078499291893,39,336,10641.628494762,17286,15,26861,6204571,511717,52515,968221,90064,675.40661,24785.824719062,156609,249528,237526,611593,7926,355586,840798,44147,13468.7896143,3965128,78,24.46,11.57,101.93,
2024-2025,Dec,18,MAHARASHTRA,1834,HINGOLI,1888416,300.037183042676,39,92,3010.818094019,6735,5,20296,1919383,282202,45076,317810,43183,310.38653,9080.067309019,48872,79457,94800,242286,3337,262564,595116,27031,5758.862685,765100,89,69.56,0.16,102.28,
2024-2025,Dec,18,MAHARASHTRA,1804,RATNAGIRI,374591,293.088364342158,22,93,267.821767416,6927,10,23786,462664,18183,7740,5018,1215,108.61729,1732.453407416,20295,29192,58366,131614,235,256420,475442,30713,1356.01435,199399,96,59.16,0.38,102.71,
2024-2025,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1584595,302.935174172867,35,135,2073.127259462,8563,21,35116,1981451,107832,32832,66190,25460,309.22267,8384.86196746201,56558,94885,153171,442211,3477,770872,1909475,43679,6002.51203800001,812217,89,66.78,0.09,106.03,
2024-2025,Dec,18,MAHARASHTRA,1817,PARBHANI,3394688,314.580492068954,39,268,5154.482250666,4782,38,34677,3330834,119775,21003,25154,2928,634.30292,16266.939157866,83381,132204,144619,325193,5641,421308,811224,39459,10478.1539872,1289613,89,57.23,0.1,106.68,
2024-2025,Dec,18,MAHARASHTRA,1823,AKOLA,1346413,286.537036421347,32,1891,568.295546111,6078,2,19760,1480423,226074,35819,74338,10198,190.32159,5000.577326811,45930,66509,87951,202034,2427,291760,563640,25838,4241.9601907,532421,89,39.25,4.05,107.8,
2024-2025,Dec,18,MAHARASHTRA,1831,NANDURBAR,1511858,288.500206558561,30,104,3558.30979902,10790,8,28525,1757855,47094,11186,1302280,291057,303.84965,8933.57475502,57100,83460,147975,354906,1625,533720,1084833,39315,5071.415306,721790,73,43.68,1.39,105.43,
2024-2025,Dec,18,MAHARASHTRA,1832,WASHIM,2367506,298.059634074196,38,576,1133.262886015,2733,2,23202,2243105,158691,20270,64311,7267,363.01676,8182.070200915,59001,92927,84898,201313,2277,281692,560017,25935,6685.7905549,891814,89,62.76,24.27,99.31,
2024-2025,Dec,18,MAHARASHTRA,1834,HINGOLI,1888416,297.611885798166,38,92,3010.818094019,5745,5,20948,1855697,274335,44900,307330,42991,310.38653,8843.979460419,47876,77690,94400,241239,3136,262003,594052,26693,5522.7748364,740106,89,70.07,0.17,100.82,
2024-2025,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1584595,302.252382383496,35,136,2073.127259462,8919,21,34987,1996446,108719,32858,66744,25488,309.22267,8416.65552746201,56743,95205,153276,442519,3537,770911,1909577,43906,6034.30559800001,819243,89,66.65,0.09,106.08,
2024-2025,Dec,18,MAHARASHTRA,1812,SANGLI,471705,276.936309225313,31,40,611.519955546,3413,44,10630,554366,27719,8012,592,217,105.79457,2252.555265546,17369,24915,48113,102711,320,317753,557505,14043,1535.24074,195756,83,43.56,0.14,95.73,
2024-2025,Dec,18,MAHARASHTRA,1813,SOLAPUR,1137646,326.846424332123,34,142,633.387611323,3041,21,21994,1270929,46451,15563,9747,2534,164.68648,4952.060083623,36473,59301,86127,197128,1995,562447,976699,25035,4153.9859923,451526,96,80.46,0.0,104.38,
2024-2025,Dec,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,10590306,290.205494968802,62,1400,10515.344472473,10354,15,77533,10176005,229874,28783,139608,12521,543.39355,40590.063700773,162603,292172,241738,642193,31782,691059,1469283,87887,29531.3256783,4273249,94,79.59,0.23,106.73,
2024-2025,Dec,18,MAHARASHTRA,1831,NANDURBAR,1511858,289.101393894049,30,104,3558.30979902,10793,8,28563,1762903,47232,11187,1305189,291107,303.84965,8958.73659502,57174,83577,148009,354996,1633,533767,1084923,39356,5096.577146,723903,73,43.7,1.38,105.81,
2024-2025,Dec,18,MAHARASHTRA,1835,PALGHAR,2709589,270.884320480768,37,735,3100.551532173,12299,18,28799,2656253,9844,1765,2453834,332724,490.20193,10786.126351473,70085,129449,125056,371205,4408,312008,730520,41098,7195.37288930001,1481707,82,17.72,12.92,101.85,
2024-2025,Nov,18,MAHARASHTRA,1803,RAIGAD,148802,290.569354088337,21,69,187.175277314,1439,97,18734,210648,6033,3092,48521,14770,42.9022,842.156010314,9828,15316,30081,69754,139,193712,349309,20173,612.078533,87989,70,26.45,2.88,105.02,
2024-2025,Nov,18,MAHARASHTRA,1811,SATARA,677002,294.583958812502,36,114,260.830526799,4828,55,14044,752170,24481,11067,2231,910,124.93101,2601.533699799,20864,31779,67626,151360,1536,407761,769052,18872,2215.772163,302465,88,67.7,0.29,103.11,
2024-2025,Nov,18,MAHARASHTRA,1813,SOLAPUR,1125918,323.814489064913,34,141,633.387611323,2904,25,22020,1254631,45853,15555,9685,2535,164.68648,4860.751053623,36059,58595,85854,196528,1978,562106,976023,24924,4062.6769623,445136,96,80.47,0.0,103.36,
2024-2025,Nov,18,MAHARASHTRA,1814,KOLHAPUR,413551,296.360994719682,29,32,291.07182131,1150,186,9416,468343,49016,18543,736,306,94.22586,1773.28365481,15956,26038,47115,113896,458,359651,638477,10566,1387.9859735,189231,91,40.41,0.03,113.83,
2024-2025,Nov,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,10481129,290.30488802021,62,1393,10483.245202473,9526,15,78305,10144911,229250,28781,139501,12519,543.39355,40477.811270773,162471,291930,241680,641998,31626,690899,1468800,87831,29451.1725183,4259093,94,79.61,0.23,106.62,
2024-2025,Nov,18,MAHARASHTRA,1816,JALNA,4135949,284.609336582837,42,328,4290.702389893,2359,26,50125,4365383,112478,20215,19753,3114,506.84725,17221.837235493,101899,183490,164874,439292,7756,484756,1086956,52484,12424.2875956,1781434,75,48.57,0.54,99.64,
2024-2025,Nov,18,MAHARASHTRA,1817,PARBHANI,3359692,311.407612666643,39,267,3973.706687366,4476,39,34931,3321480,119286,20988,25032,2927,631.19792,14948.246180566,83273,131986,144548,325007,5608,421067,810795,39407,10343.3415732,1285777,89,57.35,0.11,105.47,
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,312.457681908969,45,570,7407.709029317,3102,63,71904,7837725,127596,15967,16296,1891,868.28779,32765.5706687168,173277,300478,265183,650021,17229,685148,1417363,75006,24489.5738493998,3239326,77,39.27,4.77,304.03,
2024-2025,Nov,18,MAHARASHTRA,1835,PALGHAR,2681656,271.810519003059,37,735,3100.551532173,11967,18,28807,2636786,9793,1765,2436319,332492,490.20193,10757.815173773,69904,129053,124971,370930,4349,311724,729967,40774,7167.06171160001,1472633,82,17.61,13.09,101.89,
2024-2025,Nov,18,MAHARASHTRA,1816,JALNA,4135949,285.197074370426,42,328,4290.702389893,2370,22,50189,4377533,112806,20219,19825,3115,506.84725,17282.145685493,101987,183677,164903,439378,7795,484850,1087133,52559,12484.5960456,1786624,75,48.58,0.54,99.96,
2024-2025,Nov,18,MAHARASHTRA,1817,PARBHANI,3359692,314.661049718893,39,268,3975.448407366,4618,38,34807,3327729,119535,20992,25124,2927,631.19792,15077.713330566,83349,132147,144600,325134,5634,421152,810939,39425,10471.0670032,1288321,89,57.34,0.11,106.63,
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,312.092097907453,45,571,7407.709029317,3102,63,71940,7857420,128482,15976,16296,1891,870.44779,32800.5437387168,173258,300453,265193,650049,17334,685259,1417584,75042,24522.3869193998,3247628,77,39.39,4.79,304.41,
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,278.222627354576,67,1036,12930.512462779,13117,3,41770,6928844,673645,54354,2159826,138112,815.74175,33023.8660348789,102108,191853,192222,538682,21613,474164,1064941,54887,19277.6118220999,2841890,77,41.75,13.37,125.1,
2024-2025,Dec,18,MAHARASHTRA,1804,RATNAGIRI,374591,293.176289728336,22,93,267.821767416,6887,10,23803,459244,17975,7743,5012,1216,108.61729,1722.833577416,20222,29067,58344,131562,233,256438,475465,30690,1346.39452,198029,96,59.01,0.39,102.71,
2024-2025,Dec,18,MAHARASHTRA,1806,NASHIK,2039210,294.841313117955,32,528,4288.65451088,18784,31,39550,2140021,35465,11436,828075,198125,359.17471,10957.49523828,66574,105256,180765,505105,2415,699312,1486784,58334,6309.6660174,760608,81,31.44,13.64,99.83,
2024-2025,Dec,18,MAHARASHTRA,1812,SANGLI,471705,277.432573585454,31,40,530.199298846,3395,44,10626,551060,27622,8012,580,217,105.79457,2164.813808846,17337,24845,48096,102667,312,317684,557367,14021,1528.81994,194348,83,43.54,0.14,95.69,
2024-2025,Dec,18,MAHARASHTRA,1820,Dharashiv,2145938,271.358591150993,46,162,2071.11730494,2508,25,22833,2155270,130727,24209,8122,1159,306.86491,8226.49252244,46050,71802,77613,197744,4780,327020,705327,25341,5848.5103075,819364,79,51.96,0.1,112.78,
2024-2025,Dec,18,MAHARASHTRA,1822,BULDHANA,1390496,297.804060858607,22,156,967.764853986,7856,9,26980,1510912,108088,33562,34975,7599,223.50627,5690.828415986,66672,96892,125156,303214,367,485942,1012979,34836,4499.557292,526936,93,40.96,0.7,99.22,
2024-2025,Dec,18,MAHARASHTRA,1824,AMRAVATI,6267662,277.910544293902,67,1036,12930.512462779,13124,3,41779,6937061,674369,54364,2163532,138177,815.74175,33025.078195879,102125,191893,192230,538799,21643,474184,1065124,54903,19278.8239831,2845680,77,41.74,13.39,125.07,
2024-2025,Dec,18,MAHARASHTRA,1828,BHANDARA,5320243,186.554821745172,37,5361,3155.165637673,10512,8,15751,4971899,579249,59292,343055,33206,409.98466,12840.467614473,131181,214585,188033,452709,5821,287600,631084,26263,9275.3173168,3083787,79,23.93,16.45,100.96,
2024-2025,Dec,18,MAHARASHTRA,1830,GADCHIROLI,2955491,278.428557886739,37,956,6483.935017428,10384,3,11350,2858824,256627,39245,1078410,165495,382.46401,14826.181463148,76523,142547,133481,386760,4080,234921,600507,21734,7959.78243571999,1365736,82,30.03,13.0,101.66,
2024-2025,Dec,18,MAHARASHTRA,1831,NANDURBAR,1511858,288.895375334662,30,104,3558.30979902,10743,8,28519,1752516,46416,11163,1299202,290959,303.84965,8925.09712502,56990,83306,147885,354728,1608,533674,1084723,39262,5062.937676,719661,73,43.71,1.39,105.44,
2024-2025,Dec,18,MAHARASHTRA,1833,GONDIA,6219077,216.868992388368,39,335,10641.628494762,14373,15,28661,6096327,503861,52464,953123,90082,675.40661,24538.078042362,155561,247221,237344,611252,7485,355191,840129,43034,13221.0429376,3913431,77,24.17,11.92,101.87,
2024-2025,Dec,18,MAHARASHTRA,1810,PUNE,374487,307.142122755469,30,62,414.306156937,7789,206,18139,459450,22501,10289,54974,21201,104.65807,1930.128709937,15124,24256,56142,148155,524,380132,817302,25928,1411.164483,168076,93,69.36,0.02,102.08,
2024-2025,Dec,18,MAHARASHTRA,1812,SANGLI,471705,277.18018200773,32,41,611.519955546,3622,46,10470,566899,28205,8024,606,217,105.79457,2288.646205546,17545,25203,48218,102943,347,317912,557867,14092,1571.33168,200281,83,43.49,0.14,96.02,
2024-2025,Dec,18,MAHARASHTRA,1813,SOLAPUR,1137646,325.2068023637,34,140,633.387611323,3315,17,21935,1297965,47509,15566,9953,2543,164.68648,5019.144563623,37138,60437,86512,197851,2027,562746,977385,25250,4221.0704723,462565,96,80.59,0.0,104.74,
2024-2025,Dec,18,MAHARASHTRA,1814,KOLHAPUR,417860,292.984099874134,30,37,301.47135171,1313,181,9340,493381,50002,18587,778,311,94.22586,1841.22509351,16286,26748,47370,114683,540,360157,639863,10653,1445.5278818,200118,91,41.73,0.03,113.73,
2024-2025,Dec,18,MAHARASHTRA,1824,AMRAVATI,6267662,271.160184491518,69,1057,12930.512462779,13824,3,42098,7229167,704266,54555,2281922,138728,824.10652,33357.241557179,103977,195953,192797,540841,22847,474490,1066583,55922,19602.6225744,2972364,77,42.09,13.81,124.47,
2024-2025,Dec,18,MAHARASHTRA,1825,YAVATMAL,4770192,296.839354686686,38,637,3087.936718544,15326,7,36875,4827345,247551,38489,525749,73245,638.89252,18056.288985044,126971,187551,220597,494339,5895,681922,1393151,52201,14329.4597465,1960190,91,48.02,21.15,99.58,
2024-2025,Dec,18,MAHARASHTRA,1804,RATNAGIRI,374591,291.78330483838,23,101,267.821767416,7249,10,23611,474353,18575,7748,5114,1228,108.61729,1760.521917416,20523,29527,58480,131836,251,256453,475511,30860,1384.08286,204569,96,59.47,0.49,102.32,
2024-2025,Dec,18,MAHARASHTRA,1816,JALNA,4179031,286.349005637157,43,335,4293.272369093,2578,22,50358,4454018,114750,20266,20167,3137,506.84725,17554.155872993,102890,185486,165389,440555,8030,486071,1089171,52936,12754.0362539,1819504,75,48.75,0.64,101.08,
2024-2025,Dec,18,MAHARASHTRA,1824,AMRAVATI,6267662,272.414017548427,69,1060,12930.512462779,13774,3,41972,7169987,698932,54524,2253037,138631,824.10652,33286.668627179,103605,195096,192690,540532,22589,474457,1066408,55746,19532.0496444,2944909,77,42.11,13.64,124.57,
2024-2025,Dec,18,MAHARASHTRA,1827,NAGPUR,1685494,275.985681545119,42,311,2290.521422048,5288,28,18952,1903491,246262,33980,243518,31516,293.75626,7837.640291548,45313,65012,105381,240830,3794,283149,545238,24240,5253.3626095,788294,83,63.2,1.04,102.34,
2024-2025,Dec,18,MAHARASHTRA,1834,HINGOLI,1888416,299.481768157212,38,92,3010.818094019,6199,5,20624,1877367,277038,44983,311550,43038,310.38653,8943.576510419,48205,78254,94530,241611,3211,262255,594552,26823,5622.3718864,748165,89,69.57,0.17,102.13,
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,299.142241041574,30,413,838.974506905,8176,70,48798,1579993,19997,10820,620965,192254,200.04222,5765.443195405,52239,81465,173849,487658,1540,691454,1472646,56974,4726.4264685,556288,81,35.97,14.39,100.68,
2024-2025,Aug,18,MAHARASHTRA,1810,PUNE,206577,324.879724523859,26,35,155.964978761,3265,422,21196,268408,13217,9953,28863,20151,76.10895,1104.077099761,10022,15499,53349,141342,265,376608,809291,24461,872.003171,94265,93,67.86,0.01,104.99,
2024-2025,Aug,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6423243,301.011850070954,57,1337,1196.280153305,2299,21,85771,8709920,189127,28319,121835,12339,375.78532,27789.956805005,151180,270458,238322,634159,25175,685834,1459695,88070,26217.8913317,3643848,95,82.96,0.21,108.89,
2024-2025,Aug,18,MAHARASHTRA,1820,Dharashiv,945670,299.257518937981,37,137,53.37524,1724,53,24822,1461217,87492,24479,5473,1132,73.83585,4500.0128305,39264,60240,75608,194922,2217,325459,704932,26546,4372.8017405,549441,81,57.91,0.12,109.64,
2024-2025,Aug,18,MAHARASHTRA,1823,AKOLA,671135,294.467302220303,26,1685,35.9818366,2064,7,25993,1044407,156157,34703,54147,9921,67.50059,3178.9195437,38891,55373,84925,195182,1474,288288,557990,28057,3075.4371171,374063,91,39.57,6.14,108.72,
2024-2025,Aug,18,MAHARASHTRA,1824,AMRAVATI,3497861,290.208776774313,56,909,2587.221629699,5368,10,44938,4881871,434432,53009,1709055,137445,203.26257,16958.1023124989,86258,162838,186920,524177,13777,469919,1055629,50306,14167.6181127999,2077637,78,37.29,20.11,131.3,
2024-2025,Aug,18,MAHARASHTRA,1828,BHANDARA,3747987,179.197594741954,36,5194,179.41948,4756,8,20700,4567248,544274,59245,313256,33167,216.51607,8580.3341119,126238,205397,187200,451536,4538,286085,629222,25456,8184.3985619,2891565,79,23.08,21.57,100.92,
2024-2025,Aug,18,MAHARASHTRA,1830,GADCHIROLI,1932217,278.465483881181,34,916,2110.588829422,5948,4,14243,2501517,224502,39047,924231,164870,274.08596,9350.536207842,72049,133859,132586,385087,3074,232438,597320,20191,6965.86141842,1219892,81,33.28,17.54,101.59,
2024-2025,Aug,18,MAHARASHTRA,1835,PALGHAR,2355566,271.050574206563,35,693,533.782594364,6760,26,32789,2279859,7460,1693,2118629,330389,355.69929,7069.05279496401,65067,119799,123378,368157,3292,306571,722461,39549,6179.57091060001,1311584,82,16.94,20.96,101.63,
2024-2025,Aug,18,MAHARASHTRA,1804,RATNAGIRI,206834,298.370443702541,18,69,19.49606,3134,63,25667,284853,9653,7560,3575,1154,52.85325,922.26647,15671,22002,56085,126536,70,255352,473403,28801,849.91716,123105,96,53.54,0.27,103.4,
2024-2025,Aug,18,MAHARASHTRA,1813,SOLAPUR,496222,354.39263264781,31,107,185.927280944,1795,134,22063,796715,28387,14898,6327,2438,70.49548,3079.922024144,25629,40586,80133,184244,1018,553855,959754,23858,2823.4992632,272917,97,80.59,0.0,106.09,
2024-2025,Aug,18,MAHARASHTRA,1814,KOLHAPUR,180963,302.956609833579,25,24,18.63019,524,287,11294,316365,31999,17908,440,289,29.22621,1006.3050787,12242,19593,44773,108619,267,355808,628495,11818,958.448678700002,124596,92,45.92,0.07,112.94,
2024-2025,Aug,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6423243,303.697641165856,57,1331,1196.280153305,2358,21,85773,8739330,189896,28323,122388,12331,375.78532,28113.204537005,151379,270839,238330,634122,25318,685873,1459707,88131,26541.1390637,3656717,95,82.99,0.21,109.28,
2024-2025,Aug,18,MAHARASHTRA,1827,NAGPUR,894111,282.181825219241,35,246,152.989817418,2931,43,21098,1300967,154221,32751,160083,30372,121.0924,3945.174643518,36760,52263,102044,233680,1811,280695,540534,24029,3671.0924261,538788,83,62.83,1.19,102.02,
2024-2025,Aug,18,MAHARASHTRA,1833,GONDIA,3536257,208.420820309387,36,319,1502.413169133,4675,16,37815,5307083,437713,52252,858876,90198,197.72134,12761.200432233,146195,227918,235763,608927,4810,352255,836064,42490,11061.0659231,3557642,80,21.02,15.57,101.78,
2024-2025,Aug,18,MAHARASHTRA,1818,BEED,4493149,360.367056754375,36,469,1213.471217535,1101,83,72609,5447527,93182,15504,10284,1847,78.94088,20923.5048133349,149920,257135,257428,630564,8504,677705,1402898,73710,19631.0927157999,2229555,80,40.98,5.48,320.95,
2024-2025,Aug,18,MAHARASHTRA,1822,BULDHANA,651794,300.429085381163,20,129,403.73365682,4654,13,29644,1095265,76434,32592,25185,7354,43.65852,3737.88679882,53708,76033,118893,288172,244,482594,1005835,34298,3290.494622,379205,93,39.7,0.93,99.88,
2024-2025,Aug,18,MAHARASHTRA,1823,AKOLA,671135,296.279859770243,27,1715,90.113122984,2155,7,26193,1091851,163721,34793,56599,9958,68.57687,3393.624604684,39557,56366,85173,195785,1623,288792,558788,28348,3234.9346117,391296,91,39.66,5.86,108.79,
2024-2025,Aug,18,MAHARASHTRA,1824,AMRAVATI,3497861,291.264605065783,57,912,2677.107744699,6040,10,45345,5102546,461554,53182,1758300,137557,204.00327,17743.0214698989,88307,166322,187488,525633,15004,470413,1056511,51385,14861.9104551999,2160998,78,37.22,18.76,130.38,
2024-2025,Aug,18,MAHARASHTRA,1825,YAVATMAL,2717844,298.622213906292,36,535,165.48423597,5809,8,44473,4031887,194177,37154,437005,71264,182.87779,12388.47224757,110822,162277,212475,476263,4287,675871,1382193,50282,12040.1102216,1632431,92,50.6,25.04,99.86,
2024-2025,Aug,18,MAHARASHTRA,1830,GADCHIROLI,1932217,278.840345856468,35,920,2183.351603992,6775,4,13643,2540019,227743,39067,939126,164933,274.08596,9540.035328412,72496,134692,132688,385183,3193,232560,597305,20418,7082.59776442,1235619,81,32.93,16.91,101.59,
2024-2025,Aug,18,MAHARASHTRA,1832,WASHIM,1602891,299.501933276655,37,496,130.91018992,1815,2,26512,2024299,134513,19393,56605,6997,131.45855,6325.18338022,54483,85544,82488,195866,1972,278980,554917,28327,6062.8146403,806906,91,64.56,24.9,99.75,
2024-2025,Aug,18,MAHARASHTRA,1834,HINGOLI,1375461,308.092937603469,36,86,225.051466,2426,14,23963,1609785,228521,44277,256447,42230,87.87605,5272.5614116,43931,71046,93082,237787,2201,259581,589561,26389,4959.6338956,639464,90,74.61,0.15,102.21,
2024-2025,Sep,18,MAHARASHTRA,1818,BEED,4673728,347.711229159707,38,497,1318.403097535,1224,77,74636,6051199,101803,15677,11621,1874,78.94088,22438.0423993349,156951,270638,259619,636344,10650,679741,1407251,75860,21040.6984217999,2484187,79,40.59,5.33,306.42,
